"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 15:52:42 GMT 2023","Fri May 05 15:52:42 GMT 2023","79","firefox","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 15:52:39 GMT 2023","Fri May 05 15:52:39 GMT 2023","29","chromium","","","","","the one where the website has a submit button",""
"passed","Fri May 05 15:52:40 GMT 2023","Fri May 05 15:52:42 GMT 2023","1586","firefox","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 15:52:44 GMT 2023","Fri May 05 15:52:46 GMT 2023","2119","webkit","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 15:52:46 GMT 2023","Fri May 05 15:52:46 GMT 2023","21","webkit","","","","","the one where the website has a submit button",""
"passed","Fri May 05 15:52:46 GMT 2023","Fri May 05 15:52:46 GMT 2023","25","webkit","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 15:52:39 GMT 2023","Fri May 05 15:52:39 GMT 2023","22","chromium","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 15:52:39 GMT 2023","Fri May 05 15:52:39 GMT 2023","398","chromium","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 15:52:42 GMT 2023","Fri May 05 15:52:42 GMT 2023","51","firefox","","","","","the one where the website has a submit button",""
