"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 09:09:03 GMT 2023","Fri May 05 09:09:06 GMT 2023","3325","chromium","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 09:09:16 GMT 2023","Fri May 05 09:09:17 GMT 2023","1302","webkit","","","","","the one where the website has a submit button",""
"passed","Fri May 05 09:09:03 GMT 2023","Fri May 05 09:09:12 GMT 2023","9372","firefox","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 09:09:03 GMT 2023","Fri May 05 09:09:06 GMT 2023","3321","chromium","","","","","the one where the website has a submit button",""
"passed","Fri May 05 09:09:09 GMT 2023","Fri May 05 09:09:15 GMT 2023","6418","webkit","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 09:09:21 GMT 2023","Fri May 05 09:09:23 GMT 2023","1747","webkit","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 09:09:09 GMT 2023","Fri May 05 09:09:18 GMT 2023","9058","firefox","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 09:09:03 GMT 2023","Fri May 05 09:09:06 GMT 2023","3534","chromium","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 09:09:09 GMT 2023","Fri May 05 09:09:18 GMT 2023","9134","firefox","","","","","the one where the website has a submit button",""
