"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 10:01:42 BST 2023","Fri May 05 10:01:46 BST 2023","4190","firefox","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 10:01:45 BST 2023","Fri May 05 10:01:49 BST 2023","4310","firefox","","","","","the one where the website has a submit button",""
"passed","Fri May 05 10:01:45 BST 2023","Fri May 05 10:01:48 BST 2023","2987","webkit","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 10:01:42 BST 2023","Fri May 05 10:01:44 BST 2023","1597","chromium","","","","","the one where the website has a submit button",""
"passed","Fri May 05 10:01:42 BST 2023","Fri May 05 10:01:44 BST 2023","1422","chromium","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 10:01:42 BST 2023","Fri May 05 10:01:44 BST 2023","1633","chromium","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 10:01:45 BST 2023","Fri May 05 10:01:49 BST 2023","4195","firefox","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 10:01:48 BST 2023","Fri May 05 10:01:50 BST 2023","2281","webkit","","","","","the one where the website has a submit button",""
"passed","Fri May 05 10:01:49 BST 2023","Fri May 05 10:01:51 BST 2023","2086","webkit","","","","","the one where the quiz has a question and 4 answers",""
