"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 11:28:05 GMT 2023","Fri May 05 11:28:05 GMT 2023","65","firefox","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 11:28:03 GMT 2023","Fri May 05 11:28:03 GMT 2023","25","chromium","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 11:28:10 GMT 2023","Fri May 05 11:28:10 GMT 2023","20","webkit","","","","","the one where the website has a submit button",""
"passed","Fri May 05 11:28:03 GMT 2023","Fri May 05 11:28:03 GMT 2023","30","chromium","","","","","the one where the website has a submit button",""
"passed","Fri May 05 11:28:05 GMT 2023","Fri May 05 11:28:05 GMT 2023","57","firefox","","","","","the one where the website has a submit button",""
"passed","Fri May 05 11:28:10 GMT 2023","Fri May 05 11:28:10 GMT 2023","43","webkit","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 11:28:02 GMT 2023","Fri May 05 11:28:03 GMT 2023","416","chromium","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 11:28:03 GMT 2023","Fri May 05 11:28:05 GMT 2023","1772","firefox","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 11:28:08 GMT 2023","Fri May 05 11:28:10 GMT 2023","2237","webkit","","","","","the one where the website has a title in the browser",""
