"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 11:04:40 GMT 2023","Fri May 05 11:04:40 GMT 2023","36","chromium","","","","","the one where the website has a submit button",""
"passed","Fri May 05 11:04:43 GMT 2023","Fri May 05 11:04:43 GMT 2023","74","firefox","","","","","the one where the website has a submit button",""
"passed","Fri May 05 11:04:45 GMT 2023","Fri May 05 11:04:49 GMT 2023","3832","webkit","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 11:04:41 GMT 2023","Fri May 05 11:04:43 GMT 2023","2138","firefox","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 11:04:43 GMT 2023","Fri May 05 11:04:43 GMT 2023","93","firefox","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 11:04:49 GMT 2023","Fri May 05 11:04:49 GMT 2023","38","webkit","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 11:04:40 GMT 2023","Fri May 05 11:04:40 GMT 2023","27","chromium","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 11:04:39 GMT 2023","Fri May 05 11:04:40 GMT 2023","906","chromium","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 11:04:49 GMT 2023","Fri May 05 11:04:49 GMT 2023","25","webkit","","","","","the one where the website has a submit button",""
