"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 15:56:53 GMT 2023","Fri May 05 15:56:55 GMT 2023","1635","firefox","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 15:56:57 GMT 2023","Fri May 05 15:57:00 GMT 2023","2786","webkit","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 15:57:00 GMT 2023","Fri May 05 15:57:00 GMT 2023","22","webkit","","","","","the one where the website has a submit button",""
"passed","Fri May 05 15:56:53 GMT 2023","Fri May 05 15:56:53 GMT 2023","22","chromium","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 15:56:55 GMT 2023","Fri May 05 15:56:55 GMT 2023","74","firefox","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 15:56:55 GMT 2023","Fri May 05 15:56:55 GMT 2023","42","firefox","","","","","the one where the website has a submit button",""
"passed","Fri May 05 15:56:53 GMT 2023","Fri May 05 15:56:53 GMT 2023","29","chromium","","","","","the one where the website has a submit button",""
"passed","Fri May 05 15:57:00 GMT 2023","Fri May 05 15:57:00 GMT 2023","22","webkit","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 15:56:51 GMT 2023","Fri May 05 15:56:53 GMT 2023","1139","chromium","","","","","the one where the website has a title in the browser",""
