"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 11:20:51 GMT 2023","Fri May 05 11:20:51 GMT 2023","25","chromium","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 11:20:52 GMT 2023","Fri May 05 11:20:54 GMT 2023","1740","firefox","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 11:20:54 GMT 2023","Fri May 05 11:20:54 GMT 2023","45","firefox","","","","","the one where the website has a submit button",""
"passed","Fri May 05 11:20:56 GMT 2023","Fri May 05 11:20:59 GMT 2023","2270","webkit","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 11:20:59 GMT 2023","Fri May 05 11:20:59 GMT 2023","38","webkit","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 11:20:51 GMT 2023","Fri May 05 11:20:51 GMT 2023","471","chromium","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 11:20:54 GMT 2023","Fri May 05 11:20:54 GMT 2023","87","firefox","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 11:20:59 GMT 2023","Fri May 05 11:20:59 GMT 2023","49","webkit","","","","","the one where the website has a submit button",""
"passed","Fri May 05 11:20:51 GMT 2023","Fri May 05 11:20:52 GMT 2023","40","chromium","","","","","the one where the website has a submit button",""
