"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 10:42:22 GMT 2023","Fri May 05 10:42:22 GMT 2023","34","webkit","","","","","the one where the website has a submit button",""
"passed","Fri May 05 10:42:14 GMT 2023","Fri May 05 10:42:14 GMT 2023","50","firefox","","","","","the one where the website has a submit button",""
"passed","Fri May 05 10:42:22 GMT 2023","Fri May 05 10:42:22 GMT 2023","40","webkit","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 10:42:11 GMT 2023","Fri May 05 10:42:11 GMT 2023","48","chromium","","","","","the one where the website has a submit button",""
"passed","Fri May 05 10:42:12 GMT 2023","Fri May 05 10:42:14 GMT 2023","2541","firefox","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 10:42:14 GMT 2023","Fri May 05 10:42:14 GMT 2023","113","firefox","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 10:42:11 GMT 2023","Fri May 05 10:42:11 GMT 2023","38","chromium","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 10:42:10 GMT 2023","Fri May 05 10:42:11 GMT 2023","616","chromium","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 10:42:16 GMT 2023","Fri May 05 10:42:22 GMT 2023","5943","webkit","","","","","the one where the website has a title in the browser",""
