"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 10:54:08 GMT 2023","Fri May 05 10:54:08 GMT 2023","30","chromium","","","","","the one where the website has a submit button",""
"passed","Fri May 05 10:54:20 GMT 2023","Fri May 05 10:54:20 GMT 2023","21","webkit","","","","","the one where the website has a submit button",""
"passed","Fri May 05 10:54:07 GMT 2023","Fri May 05 10:54:08 GMT 2023","444","chromium","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 10:54:08 GMT 2023","Fri May 05 10:54:08 GMT 2023","25","chromium","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 10:54:13 GMT 2023","Fri May 05 10:54:20 GMT 2023","7026","webkit","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 10:54:10 GMT 2023","Fri May 05 10:54:11 GMT 2023","64","firefox","","","","","the one where the website has a submit button",""
"passed","Fri May 05 10:54:20 GMT 2023","Fri May 05 10:54:20 GMT 2023","34","webkit","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 10:54:08 GMT 2023","Fri May 05 10:54:10 GMT 2023","2072","firefox","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 10:54:10 GMT 2023","Fri May 05 10:54:10 GMT 2023","67","firefox","","","","","the one where the quiz has a question and 4 answers",""
