"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 11:44:47 GMT 2023","Fri May 05 11:44:49 GMT 2023","1684","firefox","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 11:44:54 GMT 2023","Fri May 05 11:44:54 GMT 2023","25","webkit","","","","","the one where the website has a submit button",""
"passed","Fri May 05 11:44:46 GMT 2023","Fri May 05 11:44:46 GMT 2023","428","chromium","","","","","the one where the website has a title in the browser",""
"passed","Fri May 05 11:44:54 GMT 2023","Fri May 05 11:44:54 GMT 2023","32","webkit","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 11:44:46 GMT 2023","Fri May 05 11:44:46 GMT 2023","32","chromium","","","","","the one where the website has a submit button",""
"passed","Fri May 05 11:44:49 GMT 2023","Fri May 05 11:44:49 GMT 2023","68","firefox","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 11:44:49 GMT 2023","Fri May 05 11:44:49 GMT 2023","49","firefox","","","","","the one where the website has a submit button",""
"passed","Fri May 05 11:44:46 GMT 2023","Fri May 05 11:44:46 GMT 2023","25","chromium","","","","","the one where the quiz has a question and 4 answers",""
"passed","Fri May 05 11:44:51 GMT 2023","Fri May 05 11:44:54 GMT 2023","2538","webkit","","","","","the one where the website has a title in the browser",""
